"N° de production","N° de « Classique Disney","N° de « Classique d'animation »","Titre (en France)","Date de sortie","Commentaires"
19,17,15,"La Belle et le Clochard","22 juin 1955","D'après le roman de Ward Greene"
20,18,16,"La Belle au bois dormant","29 janvier 1959","D'après Charles Perrault et les frères Grimm"
21,19,17,"Les 101 Dalmatiens","25 janvier 1961","D'après un roman de Dodie Smith"
22,20,18,"Merlin l'Enchanteur","25 décembre 1963","D'après le roman de Terence Hanbury White, inspiré de Chrétien de Troyes"
23,21,,"Mary Poppins","29 août 1964","Animation et prises de vues réelles d'après le roman de Pamela L. Travers"
24,22,19,"Le Livre de la jungle","18 octobre 1967","D'après le roman de Rudyard Kipling - Dernier dessin animé supervisé par Walt Disney avant sa mort"
25,23,20,"Les Aristochats","11 décembre 1970","D'après une histoire de Tom McGowan et Tom Rowe"
26,24,,"L'Apprentie sorcière","11 novembre 1971","Animation et prises de vues réelles d'après les romans de Mary Norton"
27,25,21,"Robin des Bois","8 novembre 1973","D'après une légende médiévale anglaise et le Roman de Renart"
28,28,22,"Les Aventures de Winnie l'ourson","11 mars 1977","D'après l'œuvre de Alan Alexander Milne"
29,26,23,"Les Aventures de Bernard et Bianca","22 juin 1977","D'après les romans de Margery Sharp"
30,27,,"Peter et Elliott le dragon","3 novembre 1977","Animation et prises de vues réelles, d'après une histoire de S. S. Field et Seton I. Miller"
31,29,24,"Rox et Rouky","10 juillet 1981","D'après la nouvelle Le Renard et le Chien courant de Daniel P. Mannix"
32,30,25,"Taram et le Chaudron magique","24 juillet 1985","D'après Les Chroniques de Prydain de Lloyd Alexander"
